,Date,Study,Study Link,Journal,Study Type,Sample Size,Age,Sample obtained,Asymptomatic Transmission Rate,Characteristic Related to Question 2,Excerpt,Added On,Study Population,Sample Text,Matches,Entry
,2020-05-06,Frequency of routine testing for SARS-CoV-2 to reduce transmission among workers,https://doi.org/10.1101/2020.04.30.20087015,medrxiv,Modeling,,,,,,,,"We simulated PCR-based testing for each individual in a workforce, and varied the time intervals for testing from daily to monthly.",The results from the analytical solution were very similar to the simulation.,"The analysis assumed the proportion of asymptomatic infections was 40%, a test sensitivity of 75%, 9 asymptomatic infectious days, and 3 presymptomatic days.

We assumed infectiousness begins in the last two days of the incubation period 2 and workers self-quarantine when receiving a positive test or when symptoms occur, so that transmission between workers occurs only from asymptomatically or pre-symptomatically infectious workers.",2020-05-12
,2020-05-04,COVID-19 diagnoses in South East London peaked before the UK suggesting early measures reduced transmission,https://doi.org/10.1016/j.jinf.2020.04.043,Journal of Infection,Other,,,,,,,,"Since February 2020, data relating to COVID-19 diagnoses (positive RT-PCR) and hospitalisations to KCH were gathered prospectively.","Since February 2020, data relating to COVID-19 diagnoses (positive RT-PCR) and hospitalisations to KCH were gathered prospectively.","Following transmission, symptoms of COVID-19 may develop after an incubation period of 4-5 days.",2020-05-12
,2020-04-30,Preparing for the Perpetual Challenges of Pandemics of Coronavirus Infections with Special Focus on SARS-CoV-2,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7189398/,Coronavirus Disease 2019 (COVID-19),Modeling,24,,,,,,,"Wells and coworkers in their study in Proceedings of Natural Academy of Sciences used daily incidence data of COVID-19 outbreak from China from December 8, 2019, to February 15, 2020, as well as airline network data, to predict the number of exported cases with and without measures of travel restriction and screening.",The relevance of case isolation and contact tracing are highlighted in a study by Hu and coworkers where they have performed a clinical characterization of 24 asymptomatic patients—confirming infection by a laboratory-confirmed positive for the COVID-19 virus nucleic acid from pharyngeal swab samples.,The global spread of COVID-19 was based on most cases arriving during the asymptomatic incubation period.,2020-05-12
,2020-04-29,COVID-19 data analysis and modeling in Palestine,https://doi.org/10.1101/2020.04.24.20078279,medrxiv,Modeling,11,,,,,,,"With a transmission rate equal to 4.55 106, on May 22, the simulations predict 11 014 total infected cases in the optimistic scenario and 113 171 in the worst one.","With a transmission rate equal to 4.55 106, on May 22, the simulations predict 11 014 total infected cases in the optimistic scenario and 113 171 in the worst one.",Assume that infected individuals were not infectious during the incubation period .,2020-05-12
,2020-04-29,The role of asymptomatic SARS-CoV-2 infections: rapid living systematic review and meta-analysis,https://doi.org/10.1101/2020.04.25.20079103,medrxiv,Systematic review,2,,,,,,,"We searched the living evidence database at the University of Bern Institute of Social and Preventive Medicine (ISPM) ( which includes daily updates of searches of four electronic databases: Medline-Pubmed, Embase, bioRxiv and medRxiv, for articles with medical subject headings and keywords for SARS-CoV-2 infection and COVID-19.","In two studies, most patients developed symptoms, 15 26 including 43 of 55 patients in Shenzhen, which was the only study in which patients were followed up until clearance of SARS-CoV-2, measured by repeated negative RT-PCR test results.","A generation period shorter than the incubation period of the infector indicates pre-symptomatic transmission.

Quarantine of close contacts is also essential to prevent onward transmission during asymptomatic or pre-symptomatic periods of those that have become infected.",2020-05-12
,2020-04-28,Dataset on the COVID-19 Pandemic Situation in Tunisia with application to SIR Model,https://doi.org/10.1101/2020.04.23.20076802,medrxiv,Modeling,,,,,,,,"The data of COVID-19 in Tunisia from March 02, 2020 to April 19, 2020 were collected from the website of three official sources: the National Observatory of New and Emerging Diseases of the Tunisian Ministry of Health , the Coronavirus Worldometer , and the World Health Organization (WHO) .","total infected cases, total deaths, and total recovery 02, 2020 to April 19, 2020.",The incubation period of the virus is estimated to be between 2 and 14 days but longer incubation are reported.,2020-05-12
,2020-04-28,A simple model for COVID-19,https://doi.org/10.1016/j.idm.2020.04.002,Infectious Disease Modelling,Modeling,547,,,,,,,"Extracting L 2 (t, t 0 = 0, u) from this solution, we compute","For illustration, take the situation of cumulative confirmed cases counts in China as reported to WHO, which was of 547 cases on 22 January 2020.","Furthermore, because the time horizon for simulations is very short in comparison to reported estimates of incubation period and communicable period , making a more appropriate description of sojourn times in the incubation, symptomatically infectious and asymptomatically infectious compartments is important.

The model incorporates an Erlang distribution of times of sojourn in incubating, symptomatically and asymptomatically infectious compartments.",2020-05-01
,2020-04-27,Clinical and imaging features of COVID-19,https://doi.org/10.1016/j.jrid.2020.04.003,Radiology of Infectious Diseases,Other,①,,,,,,,"Therefore, based on the observation of existing cases and combined with clinical experience, we recommend the following CT examination time window: ① Newly diagnosed patients with typical clinical manifestations and positive nucleic acid tests, with a negative chest CT scan at the initial diagnosis, and a review of chest CT scan within 3e5 days; ② Clinical diagnosis cases with atypical clinical manifestations and viral pneumonia characteristics.","Therefore, based on the observation of existing cases and combined with clinical experience, we recommend the following CT examination time window: ① Newly diagnosed patients with typical clinical manifestations and positive nucleic acid tests, with a negative chest CT scan at the initial diagnosis, and a review of chest CT scan within 3e5 days; ② Clinical diagnosis cases with atypical clinical manifestations and viral pneumonia characteristics.",Patients with asymptomatic infection (incubation period) can also be a source of infection.,2020-05-01
,2020-04-23,The risk of SARS-CoV-2 transmission in the healthcare setting and potential impact of cohorting strategies,https://doi.org/10.1101/2020.04.20.20073080,medrxiv,Other,,,,,,,, We have neglected HCWs transmission from interactions with those involved in the COVID-19 cohort or other non-COVID-19 cohorts.,• a force of infection from their patients.,"We assume that the average transmission rate in asymptomatic infection is the same as that in pre-symptomatic infection, that is, λ A = λ 1 .",2020-05-01
,2020-04-22,"Innate immunity in COVID-19 patients mediated by NKG2A receptors, and potential treatment using Monalizumab, Cholroquine, and antiviral agents",https://doi.org/10.1016/j.mehy.2020.109777,Med Hypotheses,Other,2,,,,,,,"Monalizumab is an inhibiting antibody against NKG2A which can restore the function of CD8 + T and NK cells in cancers, successfully ceasing tumor progression with no significant side effects in Phase 2 clinical trials.","Monalizumab is an inhibiting antibody against NKG2A which can restore the function of CD8 + T and NK cells in cancers, successfully ceasing tumor progression with no significant side effects in Phase 2 clinical trials.","The virus has an asymptomatic incubation period of 2–14 days, during which transmission could occur .",2020-05-12
,2020-04-22,"Predicting the impact of asymptomatic transmission, non-pharmaceutical intervention and testing on the spread of COVID19 COVID19",https://doi.org/10.1101/2020.04.16.20068387,medrxiv,Modeling,1,,,,,,," Wang, C., Horby, P. W., Hayden, F. G., Gao, G. F. (2020 12 .",We further assume that widespread testing effectively removes A 1 asymptomatic individuals from the population transmitting the disease through self isolation or quarantine.,"We indicate with (β 1 , γ I ), (β 2 , γ A ), respectively, the symptomatic and asymptomatic transmission and recovery rates, α is the incubation rate, p is the fraction of asymptomatic infectious.",2020-05-01
,2020-04-21,"Lies, Gosh Darn Lies, and Not Enough Good Statistics: Why Epidemic Model Parameter Estimation Fails",https://doi.org/10.1101/2020.04.20.20071928,medrxiv,Prospective observational,13,,,,,,,Data from New York State were obtained from The COVID Tracking Project 21 .,"There has been some early estimates based on confirmed cases 13, 18 with more evidence of pre-symptomatic transmission being noted 19, 20 yielding faster incubation.","There is evidence that COVID-19 presents symptomatic cases and asymptomatic cases, with asymptomatic cases less likely to be identified and isolated There is an incubation period after infection that lasts until the incubating individuals become infectious.",2020-04-24
,2020-04-20,COVID-19: Role of Ambulatory Surgery Facilities in This Global Pandemic,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7173085/,Anesth Analg,Other,,,,,,,,Based on the recommendation from the Ambulatory Surgery Center Association.,"8, 9 Of note, the likelihood of COVID-19 transmission from asymptomatic patients is low.","Since the incubation period for COVID-19 varies from 2 to 14 days, it is possible that a patient may be asymptomatic and still be infected/ infectious.

Since the incubation period for COVID-19 varies from 2 to 14 days, it is possible that a patient may be asymptomatic and still be infected/infectious.

This is particularly important because it is postulated that asymptomatic patients can transmit the disease during the incubation period.",2020-05-01
,2020-04-17,SARS-CoV-2 and the testis: similarity with other viruses and routes of infection,https://doi.org/10.1016/j.rbmo.2020.04.009,Reproductive BioMedicine Online,Other,,,,,,,,"S ince the novel coronavirus (SARS-CoV-2) outbreak in December 2019, the number of cases of infected individuals has been increasing exponentially, leading to the coronavirus disease being declared a global pandemic on the 11 March 2020.","This could occur in asymptomatic patients, in patients with mild symptoms or even during the incubation period.","This could occur in asymptomatic patients, in patients with mild symptoms or even during the incubation period.",2020-05-12
,2020-04-17,"Refined compartmental models, asymptomatic carriers and COVID-19",https://doi.org/10.1101/2020.04.14.20065128,ArXiv; medrxiv,Modeling,,,,,,,,"From all this we then have: β i < β e < β a , as claimed.",Precise qualitative results.,"The β i , β e , β a respectively represent the transmission rates of the infected, exposed (in th incubation period), and asymptomatic individuals.

(i) The long incubation period, during which the individuals that have been exposed",2020-04-24
,2020-04-14,"Discovery of baicalin and baicalein as novel, natural product inhibitors of SARS-CoV-2 3CL protease in vitro",https://doi.org/10.1101/2020.04.13.038687,biorxiv,Modeling,,,,,,,,X-ray diffraction data were collected at beamline BL18U1 at the Shanghai Synchrotron Radiation Facility .,Three independent experiments were performed for the determination of Kds.,Incubation time was 1 h at 37 ℃.,2020-04-17
,2020-04-09,COVID-19 and Diabetes: Knowledge in Progress,https://doi.org/10.1016/j.diabres.2020.108142,Diabetes Research and Clinical Practice,Other,72314,,,,,,,"Methods We searched for articles in PubMed and Google Scholar databases till 02 April 2020, with the following keywords: “SARS-CoV-2”, “COVID-19”, “infection”, “pathogenesis”, “incubation period”, “transmission”, “clinical features”, “diagnosis”, “treatment”, “diabetes”, with interposition of the Boolean operator “AND”.","In a large Chinese report including 72,314 patients, only 2% of those infected were younger than 20 years old (20) .","Indeed, transmission from asymptomatic carriers or individuals within the incubation period has been described .

The incubation period is described as the time from infection to illness onset.",2020-04-17
,2020-04-07,Longitudinal analysis of laboratory findings during the process of recovery for patients with COVID-19,https://doi.org/10.1101/2020.04.04.20053280,medrxiv,Prospective observational,59,,,,,,,"Laboratory findings, the characteristics of epidemiological and demographic data were retrieved from electronic medical records.","Methods The multicenter study prospectively included 59 patients with COVID-19 treated at Jilin province from January 21, 2020 to May 5, 2020.",The incubation period was defined as the duration from the contact of the transmission source to the onset of symptoms.,2020-04-10
,2020-04-07,Feasibility of Controlling COVID-19 Outbreaks in the UK by Rolling Interventions,https://doi.org/10.1101/2020.04.05.20054429,medrxiv,Modeling,14.15,,,,,,,"Our model was fitted and calibrated with data on cases of COVID-19 in Wuhan and Hubei to estimate how suppression intervention impacted on the number and distribution of infections, growth of deaths over time during January 2020, and April 2020.","14.15 If effectiveness of intervention in contain phase was not sufficiently strong, susceptible individuals may contract disease with a given rate when in contact with a portion of exposed population E. After an incubation period α 1 , the exposed individuals became the infectious population I at a ratio 1/α 1 .The incubation period was assumed to be 5.8 days.",13 The incubation period was assumed to be 6 days.,2020-04-24
,2020-04-06,Head and neck oncology during the COVID-19 pandemic: Reconsidering traditional treatment paradigms in light of new surgical and other multilevel risks,https://doi.org/10.1016/j.oraloncology.2020.104684,Oral Oncology,Other,18,,,,,,,"In a recent nationwide study of COVID-19 patients in China, patients with a history of cancer were more likely to become infected with COVID-19.","The 18 such COVID-19-positive patients with a history of cancer were more likely to require invasive ventilation with ICU admission or die (39%,",Viral shedding and infection transmission occurs during incubation and the median incubation time of SARS-CoV-2 is five days.,2020-04-10
,2020-04-02,Suggestions on the prevention of COVID-19 for health care workers in department of otorhinolaryngology head and neck surgery,https://doi.org/10.1016/j.wjorl.2020.03.002,World Journal of Otorhinolaryngology - Head and Neck Surgery,Other,6,,,,,,,National Natural Science Foundation of China .,"A familial cluster study of COVID-19 suggests that of six COVID-19 patients, five patients' nasopharyngeal swab samples showed SARS-CoV-2 positive.","2, 12 Considering the mean incubation period of COVID-19 is reported at 5.2 days, 5 those asymptomatic carriers who are within the incubation period are contagious, and becomes an important source of infection.",2020-04-17
,2020-04-02,Different scenarios in the Dynamics of SARS-Cov-2 Infection: an adapted ODE model,https://doi.org/,ArXiv,Modeling,100,,,,,,,"In the case of our model, based on Brazil, it was calculated following the same methodology adopted by the authors of and from data extracted from reliable sources , resulting in a value of = ~ 10 −5 .",*Portion of total initial susceptible population ( S(0)) **Approximately 100 individuals from the entire population of Brazil.,The virus incubation period reported in is 5.2 days.,2020-05-01
,2020-04-02,Detecting Suspected Epidemic Cases Using Trajectory Big Data,https://doi.org/,ArXiv,Modeling,2757,,,,,,,"We collected the trajectory data of diagnosed people and normal people in the early stage of the COVID-19 in China, including trajectories between January 1, 2020 and January 28, 2020 of 9198 diagnosed subscribers which were diagnosed before January 28, 2020 and trajectories from January 17, 2020 to January 31, 2020 of 120 thousands normal people sampled in 25 regions of China.","A total of 2186 are detected out of 2757 confirmed cases, indicating an overall detection rate around 80%.",where T is the incubation period of the epidemic virus.,2020-05-01
,2020-04-01,When infection prevention enters the temple: Intergenerational social distancing and COVID-19,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7163187/,PMC,Other,,,,,,,, To the Editor—The recent emergence of SARS-CoV-2 and the pandemic of associated COVID-19 disease poses significant though incompletely determined threats to human health globally.,• Asymptomatic transmission., Asymptomatic transmission.,2020-04-24
,2020-04-01,Insight into 2019 novel coronavirus — an updated intrim review and lessons from SARS-CoV and MERS-CoV,https://doi.org/10.1016/j.ijid.2020.03.071,International Journal of Infectious Diseases,Other,4,,,,,,,General information of four inpatient case studies with relatively comprehensive data were summarized in supplementary table 1.,General information of four inpatient case studies with relatively comprehensive data were summarized in supplementary table 1.,A long incubation period may lead to a high rate of asymptomatic and subclinical infection.,2020-04-03
,2020-04-01,AGA Institute Rapid Recommendations for Gastrointestinal Procedures During the COVID-19 Pandemic,https://doi.org/10.1053/j.gastro.2020.03.072,Gastroenterology,Modeling,1099,,,,,,,"With the help of an information specialist, we electronically searched OVID Medline to identify all relevant English studies from inception to March 23, 2020","Guan et al published the largest cohort study to date which included 1,099 hospitalized patients with confirmed COVID-19 infection from China.",asymptomatic carriers or individuals with mild symptoms) as well as individuals with virus shedding during the pre-incubation period before symptoms develop.,2020-04-03
,2020-03-31,Immuno-epidemiological model of two-stage epidemic growth,https://doi.org/,ArXiv,Other,,,,,,,,Figure 1 : Data on seasonal influenza in Europe in 2019-2020 .,Figure 1 : Data on seasonal influenza in Europe in 2019-2020 .,"Here I(t) is the density of latently infected individuals (during the incubation period), τ is the length of the incubation period.",2020-05-01
,2020-03-30,Modeling of COVID-19 Pandemic and Scenarios for Containment,https://doi.org/10.1101/2020.03.27.20045849,medrxiv,Modeling,1000,,,,,,,"First, based on the genomic studies on the phylogeny of SARS-CoV-2, two genetic mutations of the virus has happened in Iran (The Nextstrain team, 2020) 2 , first between January 10 th and January 27 th , and the second between January 24 th and January 30 th .","If implemented immediately, the total number of deaths by end-June will remain below 5 thousand individuals.",COVID-19 has an infection capability during the incubation (pre-symptomatic) period.,2020-04-10
,2020-03-30,Planning as Inference in Epidemiological Models,https://doi.org/,ArXiv,Modeling,1000000,,,,,,,Synthetic Population data.,"In conducting our experiments we generated one million samples, 40% of which satisfied the policy goal.",the incubation period is between 4.5 and 5.8 .,2020-05-01
,2020-03-30,"COVID-19, Modern Pandemic: A Systematic Review From Front-Line Health Care Providers’ Perspective",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7188368/,J Clin Med Res,Systematic review,366,,,,,,,"We conducted a systematic search of published articles from PubMed, google scholar databases and in-press literature from google search engine through snowballing.","They analyzed a total of 366 hospitalized patients, and 6% (six patients) of them were positive for COVID-19.",The incubation period was 4.6 days .,2020-05-12
,2020-03-26,SARS-CoV-2 Infection in Pregnancy – a Review of the Current Literature and Possible Impact on Maternal and Neonatal Outcome,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7174004/,Geburtshilfe Frauenheilkd,Case series,3,,,,,,," The first study (“Wuhan patient population”) 34 comprises nine cases which presented between 20th January 2020 and 31st January 2020, inclusively, at the Zhongnan Hospital of Wuhan University.",Three patients died after delivery.,"Human-to-human transmission is usually by droplet infection, with the incubation period being an average of 5.2 days.",2020-05-01
,2020-03-17,COVID-19: a novel zoonotic disease caused by a coronavirus from China: what we know and what we don’t,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7086482/,Microbiol Aust,Other,17,,,,,,,"In addition, virus was detected by RT-PCR in stools from 9 of 17 confirmed cases, but at titres lower than in respiratory samples 30 .","In addition, virus was detected by RT-PCR in stools from 9 of 17 confirmed cases, but at titres lower than in respiratory samples 30 .","Several studies have indicated that transmission may occur during the incubation period 31,32 and from asymptomatic or very mild infections 29, 33, 34 .",2020-04-03
,2020-03-14,Coronavirus (COVID-19) outbreak: what the department of endoscopy should know,https://doi.org/10.1016/j.gie.2020.03.019,Gastrointestinal Endoscopy,Other,2020,,,,,,,(Gastrointest Endosc 2020;-:1-6.),"Since then, as of March 10, 2020 more than 100,000 cases have been confirmed worldwide, 3 with the infection spreading to many countries all over the world.",13 This could be even more relevant given that virus transmission can occur during the incubation period in asymptomatic patients.,2020-03-27
,2020-03-08,A mathematical model for estimating the age-specific transmissibility of a novel coronavirus,https://doi.org/10.1101/2020.03.05.20031849,medrxiv,Modeling,425,,,,,,,"Data of reported COVID-19 cases were collected from one published literature from 26 November to 22 December, 2019 in Wuhan City, China.","A study with 425 patients indicated that the median age was 59 72 years (range, 15 to 89) and reported different case distributions in four age groups: 0 -14, 15 -44, 45 73 -64, and  65 years .","f) The incubation period of exposed person is 1/.

Since there was no evidence about the transmissibility of 149 asymptomatic infection, we assumed that the transmissibility of asymptomatic infection was 0.5 times 150 that of symptomatic infection ( = 0.5), which was the similar value as influenza .",2020-03-27
,2020-03-08,Estimating the generation interval for COVID-19 based on symptom onset data,https://doi.org/10.1101/2020.03.05.20031815,medrxiv,Modeling,114,,,,,,,"Methods: We used outbreak data from clusters in Singapore and Tianjin, China to estimate the generation interval from symptom onset data while acknowledging uncertainty about the incubation period distribution and the underlying transmission network.","In these data, 114 cases can be traced to one of 16 clusters.","The proportion of pre-symptomatic transmission is calculated as p = P (X i < δ v(i) ), i.e., pre-symptomatic transmission occurs when the generation interval is shorter than the incubation period of the infector.",2020-03-27
,2020-03-06,"Epidemiologic Characteristics of COVID-19 in Guizhou, China",https://doi.org/10.1101/2020.03.01.20028944,medrxiv,Case series,2,,,,,,,"At the end of 2019, a coronavirus disease 2019 (COVID-19) outbroke in Wuhan, China, and spread to Guizhou province on January of 2020.",We also presented two representative case studies in Guizhou province -- Case Study 1 was an example of asymptomatic carrier; and Case Study 2 was an example of a large and complex infection chain that involved four different districts spanning three provinces and eight families.,"With an estimation of 8 days incubation period and 6 days serial interval, our results indicate that there may exist infectiousness during the incubation period for 2019-nCoV.",2020-03-27
,2020-02-28,Feasibility of controlling COVID-19 outbreaks by isolation of cases and contacts,https://doi.org/10.1016/s2214-109x(20)30074-7,Lancet Glob Health,Modeling,5000,,,,,,,"METHODS: We developed a stochastic transmission model, parameterised to the COVID-19 outbreak.",Outbreaks were deemed controlled if transmission ended within 12 weeks or before 5000 cases in total.,"In (C), the incubation period was 5 days.",2020-04-03
,2020-02-28,A mathematical model for simulating the phase-based transmissibility of a novel coronavirus,https://doi.org/10.1186/s40249-020-00640-3,Infect Dis Poverty,Modeling,45,,,,,,,"The reported cases of SARS-CoV-2, which have been named as COVID-19, were collected for the modelling study from a published literature .","Thus, ω P = ω' P = 0.1923. b) There is a mean 5-day delay from symptom onset to detection/hospitalization of a case (the cases detected in Thailand and Japan were hospitalized from 3 to 7 days after onset, respectively) The duration from illness onset to first medical visit for the 45 patients with illness onset before January 1 was estimated to have a mean of 5.8 days (95% CI: 4.3-7.5) .","The incubation period and latent period of human infection was defined as 1/ωP and 1/ω’P.

The incubation period and latent period of human infection was defined as 1/ω P and 1/ω' P .

d) Since there was no evidence about the transmissibility of asymptomatic infection, we assumed that the transmissibility of asymptomatic infection was 0.5 times that of symptomatic infection (κ = 0.5), which was the similar value as influenza .

In this study, we assumed that the incubation period (1/ωP) was the same as latent period (1/ω’P) of human infection, thus ωP = ω’P.

In this study, we assumed that the incubation period (1/ ω P ) was the same as latent period (1/ω' P ) of human infection, thus ω P = ω' P .

Therefore, γP = 0.1724.Since there was no data on the proportion of asymptomatic infection of the virus, we simulated the baseline value of proportion of 0.5 (δP = 0.5).Since there was no evidence about the transmissibility of asymptomatic infection, we assumed that the transmissibility of asymptomatic infection was 0.5 times that of symptomatic infection (κ = 0.5), which was the similar value as influenza .",2020-03-27
,2020-02-23,"The cross-sectional study of hospitalized coronavirus disease 2019 patients in Xiangyang, Hubei province",https://doi.org/10.1101/2020.02.19.20025023,medrxiv,Cross-sectional,102,,,,,,,"Methods We included 102 confirmed COVID-19 cases hospitalized in Xiangyang No.1 peoples hospital, Hubei, China until Feb 9th, 2020.",A total of 102 cases (52 males and 50 females) with positive real-time RT-PCR results were included in our study.,The prolonged incubation period will increase the risk of virus transmission.,2020-03-27
,2020-02-13,"Lockdown may partially halt the spread of 2019 novel coronavirus in Hubei province, China",https://doi.org/10.1101/2020.02.11.20022236,medrxiv,Other,12143,,,,,,,"On 31 st December 2019, a pneumonia case of unknown etiology from Wuhan City, Hubei Province, China was reported to the World Health Organization (WHO), which was later confirmed as a novel coronavirus and named '2019-nCoV' (renamed as 'COVID-19' after one month ).","With these assumptions, we forecast that the number of confirmed 2019-nCoV cases will reach its peak of 12,143 (5, 852) individuals at 27 (23-36) days (i.e., 17 Feb [14-27 Feb]) after the lockdown initiation ( Figure 1c ).",2019-nCoV is capable of human-to-human transmission even during its asymptomatic incubation period (3-7 days ).,2020-03-27
,2020-02-12,Effectiveness for the Response to COVID-19: The MERS Outbreak Containment Procedures,https://doi.org/10.24171/j.phrp.2020.11.1.01,Osong Public Health Res Perspect,Other,454,,,,,,,"As of the 17th February 2020, a total of 71,432 (1,775 deaths) confirmed cases of Corona Virus Disease 19 (COVID-19) in 26 countries and reported to the WHO.",Monitoring of international travelers in Japan have confirmed 454 cases of COVID-19 in infected patients .,The incubation period was 4.8 days.,2020-03-27
,2020-02-11,Feasibility of controlling 2019-nCoV outbreaks by isolation of cases and contacts,https://doi.org/10.1101/2020.02.08.20021162,medrxiv,Modeling,5000,,,,,,,No data were used in this study.,Outbreaks were deemed controlled if transmission ended within 12 weeks or before 5000 cases in total.,"In C, the incubation period was 5 days.",2020-03-27
,2020-02-11,Novel Coronavirus Pneumonia Outbreak in 2019: Computed Tomographic Findings in Two Cases,https://doi.org/10.3348/kjr.2020.0078,Korean J Radiol,Other,2,,,,,,,ORCID iDs Bing Fan Xiaoqi Lin Zhenyu Gong,"Here, we report two confirmed cases of 2019-nCoV pneumonia with chest computed tomography findings of multiple regions of patchy consolidation and ground-glass opacities in both lungs.","The incubation period of 2019-nCoV is generally 3-7 days but no longer than 14 days, and the virus is infective during the incubation period.",2020-03-27
,2020-02-09,Clinical characteristics of 2019 novel coronavirus infection in China,https://doi.org/10.1101/2020.02.06.20020974,medrxiv,Retrospective observational,1099,,,,,,,We performed a retrospective study on the clinical characteristics of laboratory-confirmed cases with 2019-nCoV ARD.,"Methods: We extracted the data on 1,099 patients with laboratory-confirmed 2019-nCoV ARD from 552 hospitals in 31 provinces/provincial municipalities through January 29th, 2020.",The incubation period was defined as the duration from the contact of the transmission source to the onset of symptoms.,2020-03-27
,2020-01-19,A mathematical model for simulating the transmission of Wuhan novel Coronavirus,https://doi.org/10.1101/2020.01.19.911669,biorxiv,Modeling,,,,,,,,"AbstractAs reported by the World Health Organization, a novel coronavirus (2019-nCoV) was identified as the causative virus of Wuhan pneumonia of unknown etiology by Chinese authorities on 7 January, 2020.",The parameters of the BHRP model were shown in Table 1 .,The incubation period and latent period of human infection was defined as 1/ P and 1/' P .,2020-03-27
,2020,Analysis on the epidemic factors for the Corona Virus Disease,https://doi.org/10.3760/cma.j.cn112150-20200227-00196,Zhonghua Yu Fang Yi Xue Za Zhi,Other,,,,,,,,"Since December 2019, corona virus disease 2019 (COVID-19) , an emerging infection disease occurred in Wuhan, has spread in the mainland China.","Source of infection including the patients, asymptomatic carrier and patients in the incubation period are contagious.","Source of infection including the patients, asymptomatic carrier and patients in the incubation period are contagious.",2020-03-27
,2020,Personal knowledge on novel coronavirus pneumonia,https://doi.org/10.1097/cm9.0000000000000757,Chin Med J (Engl),Other,16,,,,,,,This is consistent with the recommendations of Chinese Society of Extracorporeal Life Support.,A large meta-analysis which included 16 studies on influenza A virus subtype H1N1 infection showed that corticosteroids increased mortality.,"During the period of latent infection or the period of incubation following infection, the disease may be infectious.",2020-03-27
,2020,Advances on presymptomatic or asymptomatic carrier transmission of COVID-19,https://doi.org/,Chinese Journal of Epidemiology,Other,,,,,,,,,,Patients in incubation period and healthy carriers are possible sources for transmission.,2020-03-27
,2020,[Advances on presymptomatic or asymptomatic carrier transmission of COVID-19],https://doi.org/10.3760/cma.j.cn112338-20200228-00207,Zhonghua liu xing bing xue za zhi = Zhonghua liuxingbingxue zazhi,Other,,,,,,,,,,Patients in incubation period and healthy carriers are possible sources for transmission.,2020-03-27
,2020,Clinical features of 2019 novel coronavirus pneumonia in the early stage from a fever clinic in Beijing,https://doi.org/10.3760/cma.j.issn.1001-0939.2020.0013,Zhonghua Jie He He Hu Xi Za Zhi,Retrospective observational,9,,,,,,,"Methods: A retrospective analysis of clinical and imaging data of 9 patients with 2019 novel coronavirus infection diagnosed in one fever clinicic in Beijing from January 18, 2020 to February 3, 2020.","Methods: A retrospective analysis of clinical and imaging data of 9 patients with 2019 novel coronavirus infection diagnosed in one fever clinicic in Beijing from January 18, 2020 to February 3, 2020.",The incubation period was 1 to 6 days.,2020-03-27
0,2020-03-15,Temporal dynamics in viral shedding and transmissibility of COVID-19,https://doi.org/10.1038/s41591-020-0869-5,Nature Medicine,Cross Sectional Study,154.0,median: 46; range: 2-89,Throat,44%,-,The proportion of transmission before symptom onset (area under the curve) was 44%.,2020-04-08,,,,
1,2020-03-15,Epidemiological characteristics of 2019 novel coronavirus family clustering in Zhejiang Province,https://doi.org/10.3760/cma.j.cn112150-20200227-00199,Chinese Journal of Preventative Medicine,Cross Sectional Study,54.0,median: 48; IQR: 37-56 ,-,43.20%,-,"Of the 149 family-aggregated epidemics, 189 cases of family continuation cases were 598 family contacts, with a continuation rate of 31.61%; 54 cases of asymptomatic infections, 125 family contacts, and family continuation infection rates 43.20%",2020-04-09,,,,
2,2020-03-14,Epidemiological parameters of coronavirus disease 2019: a pooled analysis of publicly reported individual data of 1155 cases from seven countries,https://doi.org/10.1101/2020.03.21.20040329,medRxiv,Cross Sectional Study,204.0,mean: 46; range: 5 days-90,-,43.78%,-,"In 102 (43.78%) infector-infectee pairs, transmission occurred before infectors’ symptom onsets.",2020-04-08,,,,
3,2020-03-08,Transmission of corona virus disease 2019 during the incubation period may lead to a quarantine loophole,https://doi.org/10.1101/2020.03.06.20031955,medRxiv,Cross Sectional Study,124.0,median: 41; range: 19-73,-,73%,-,"The majority of the secondary cases (73.0%) were infected before the symptom onset of the first-generation cases, while 18.9% and 8.1% were infected on and after the date of the symptom onset of the first-generation cases, respectively",2020-04-08,,,,
4,2020-03-03,Rapid asymptomatic transmission of COVID-19 during the incubation period demonstrating strong infectivity in a cluster of youngsters aged 16-23 years outside Wuhan and characteristics of young patients with COVID-19: a prospective contact-tracing study,https://doi.org/10.1016/j.jinf.2020.03.006,Journal of Infection,Prospective Observational Study,15.0,median: 22; range: 16-23,Respiratory; Blood ,40.00%,-,The attack-rate is high (40%).,2020-04-15,,,,
5,2020-03-26,Modes of contact and risk of transmission in COVID-19 among close contacts,https://doi.org/10.1101/2020.03.24.20042606,medRxiv,Prospective Observational Study,305.0,median: 38; IQR: 25-52,Throat,0.33%,-,"Only 1 (1/305, 0.33%) and 19 (19/576, 3.3%) close contact was infected by asymptomatic and mild source case, and it suggested the limited transmission capacity in asymptomatic and mild cases.",2020-05-10,,,,
