,Date,Study,Study Link,Journal,Study Type,Adressed Population,Challenge,Solution,Measure of Evidence,Added on,Study Population,Sample Text,Matches,Entry
,2020-05-08,Reallocating Ventilators During the COVID-19 Pandemic: Is it Ethical?,https://doi.org/10.1016/j.surg.2020.04.044,Surgery,Other,,,,,,The work of eminent bioethicists such as Emanuel and others on medical allocation of scarce resources during times of public health emergencies are now in front and center of public discourse during the COVID-19 crisis.,Suppose a transplant surgeon has five dying patients and each is in need of different organs.,Vulnerable populations are likely to be at a great risk of being marginalized.,2020-05-12
,2020-05-08,"COVID-19: Unique public health issues facing Black, Asian and minority ethnic communities",https://doi.org/10.1016/j.cpcardiol.2020.100621,Current Problems in Cardiology,Other,,,,,,Data on the ethnicity and outcomes of patients diagnosed with COVID-19 needs to be routinely collected by governments as part of an international data set alongside other patient demographics.,Pooled data of 4 studies found CKD to be a significant clinical predictor of severe COVID-19 (32) .,Ethnic minority communities are also more likely to be socioeconomically disadvantaged than white communities.,2020-05-12
,2020-05-08,The Public Health Response to COVID-19: Balancing Precaution and Unintended Consequences,https://doi.org/10.1016/j.annepidem.2020.05.001,Annals of Epidemiology,Other,,,,,,"Models were developed using available data in real time, with a primary aim to enhance understanding of transmission and clinical severity.","Models were developed using available data in real time, with a primary aim to enhance understanding of transmission and clinical severity.",Non-specific primary prevention approaches are known to increase disparities by further marginalizing those already at highest risk of severe outcomes -including people living in congregate settings and people of disadvantaged communities who may also have poorer existing access to care and higher rates of comorbidities that increase risk of poor COVID-19-related outcomes .,2020-05-12
,2020-04-30,Inequalities in COVID19 mortality related to ethnicity and socioeconomic deprivation,https://doi.org/10.1101/2020.04.25.20079491,medrxiv,Cross-sectional,,,,,,Methods: We performed a cross-sectional ecological analysis across England's upper-tier local authorities.,"To derive our measure of COVID19 mortality, we used data provided by NHS England on deaths of patients who died in hospitals who tested positive for COVID19 at time of death, recorded up until the 22 nd April 2020.","To reduce these inequalities, Government needs to target effective control and recovery measures at these disadvantaged communities, proportionate to their greater needs and vulnerabilities, during and following the pandemic.",2020-05-12
,2020-04-23,Early COVID-19 Impact on Adolescent Health and Medicine Programs in the United States: LEAH Program Leadership Reflections,https://doi.org/10.1016/j.jadohealth.2020.04.010,Journal of Adolescent Health,Other,,,,,,CHOP Clinical Pathways on COVID-19 and Eating Disorders at,Several programs were working in children's hospitals that were anticipating possible admission of adult patients.,Lack of access to school-based clinics was noted to be have disproportionate impact on communities with high rates of poverty and marginalized groups.,2020-05-01
,2020-04-22,Vulnerable Populations: Weathering the Pandemic Storm,https://doi.org/10.1016/j.amepre.2020.04.002,American Journal of Preventive Medicine,Other,,,,,,"Preliminary reports from post-exposure testing at a homeless shelter in Boston found a 36% case rate of SARS-CoV-2 from their cohort of 408 clients who received the polymerase chain reaction test, but only a small percentage had cough (7.5%), shortness of breath (1.4%), or fever (0.7%).","Already, it has been observed that SARS-CoV-2 outbreaks in correctional settings spread quickly, with reports from Cook County Jail in Illinois going from two positive cases to more than 350 confirmed positive cases in slightly more than 2 weeks.","Vulnerable populations will likely experience further marginalization in this pandemic.

7 The U.S., which has the highest worldwide incarceration rate, and a disproportionally greater minority and disadvantaged population, must act swiftly to protect the health and safety of incarcerated individuals and the community at large.",2020-04-24
,2020-04-14,Responding to Healthcare Disparities and Challenges With Access to Care During COVID-19,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7197255/,Health Equity,Other,,,,,,We've learned from the Spanish flu.,"The pandemic has shown that in addition to school-based nutrition, we need to think of additional systems to deliver child nutrition to the 20 + million children who live in poverty in the United States, especially in communities of color that have been marginalized and discriminated against for centuries, and experience high rates of poverty.","This void increases adverse health risk for vulnerable, marginalized populations and stresses these populations and the system.",2020-05-12
,2020-04-14,"COVID-19 pandemic in the African continent: forecasts of cumulative cases, new infections, and mortality",https://doi.org/10.1101/2020.04.09.20059154,medrxiv,Modeling,,,,,,"The data on urbanization were obtained from the Population Reference Bureau, while average household size, age profile, and data on the total population used for the calculation of rates were all from the UN Population Division.","By the end of June, these two countries are expected to have respectively around 2.6 million and 250 thousand cumulative COVID-19 cases.","At a time of a pandemic no one community can be marginalized.

It is therefore important that governments include marginalized communities, such as refugees, migrants and internally displaced populations (IDPs) in their policies and actions.",2020-05-01
,2020-04-09,"Awareness, Attitudes, and Actions Related to COVID-19 Among Adults With Chronic Conditions at the Onset of the U.S. Outbreak: A Cross-sectional Survey",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7151355/,Ann Intern Med,Cross-sectional,,,,,,Data were collected from 13 through 20 March 2020.,DESIGN: Cross-sectional survey linked to 3 active clinical trials and 1 cohort study.,"The sample was racially and ethnically diverse, and many participants were socioeconomically disadvantaged: Nearly a third (29.4%) were living below the poverty level.",2020-04-17
,2020-04-02,Collision of the COVID-19 and Addiction Epidemics,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7138334/,Ann Intern Med,Other,,,,,,,,"Persons with SUD are already marginalized and underserved by health care services, largely because of stigma.",2020-04-10
0,2020-04-13,Flattening the Curve by Getting Ahead of It: How the VA Healthcare System Is Leveraging Telehealth to Provide Continued Access to Care for Rural Veterans.,https://doi.org/10.1111/jrh.12449,Journal of Rural Health,Expert Review,Veterans,"As the US scrambles to deliver health care during the COVID-19 pandemic, expanding telehealth services has become the most prominently employed access strategy across the majority of health care systems",VHA has dramically increased telehealth visits so veterans can remain connected and engaged in their care while limiting travel and maintaining social distancing to support efforts of flattening the curve.,-,4/23/2020,,,,
1,2020-04-13,Compounding Health Risks and Increased Vulnerability to SARS-CoV-2 for Racial and Ethnic Minorities and Low Socioeconomic Status Individuals in the United States,https://www.preprints.org/manuscript/202004.0234/v1,Preprints,Expert Review,Racial and Ethnic Minorities,Rising wealth inequality and persistent social disparities experienced by racial and ethnic minorities in the US lead to significant vulnerability of racial and ethnic minorities and low socioeconomic status (SES) individuals to pandemic events,"Invest funding heavily in community healthcare systems that serve racial and ethnic minorities and low SES individuals, where the need will be greatest",-,4/23/2020,,,,
2,2020-04-12,Mental Health Services in Lombardy during COVID-19 outbreak.,https://dx.doi.org/10.1016%2Fj.psychres.2020.112980,Pyschiatry Research,Expert Review,Psychiatic Illness,"Lombardy is the Region in Italy the most heavily affected by coronavirus disease (COVID-19) contagion. The Regional Health Authority mandates that mental health services should be guaranteed, identifying mental health as a priority for their citizens.","Mental health services can provide care by using increased use of communication resouces, triaging over the telephone, and avoiding close contact in on-site appointments.",-,4/23/2020,,,,
3,2020-04-08,"Which Melbourne metropolitan areas are vulnerable to COVID-19 based on age, disability and access to health services? Using spatial analysis to identify service gaps and inform delivery.",https://dx.doi.org/10.1016%2Fj.jpainsymman.2020.03.041,Journal of Pain and Symptom Management,Cross-Sectional Study,Vulnerable Populations,Can Spatial Methods be used to determine which areas are vulnerable?,Spatial methods are increasingly becoming an essential method to inform health service planning and identify vulnerable populations.,Country: Australia,4/23/2020,,,,
4,2020-03-31,Telemedicine in the Time of Coronavirus,https://doi.org/10.1016/j.jpainsymman.2020.03.019,Journal of Pain and Symptom Management,Expert Review,Palliative Care ,"With the emergence of COVID-19, telemedicine has been catapulted into the role of a critically essential service for patients to help mitigate the spread of COVID19 and preserve valuable personal protective equipment.",Telemedicine is a proven modality for delivering palliative care.,-,4/23/2020,,,,
5,2020-03-30,Feeding Low-Income Children during the Covid-19 Pandemic,https://www.nejm.org/doi/full/10.1056/NEJMp2005638,New England Journal of Medicine,Expert Review,Low-income Children,"As Covid-19 spreads throughout the United States, schools and child care facilities are balancing their role of helping to prevent disease transmission with ensuring access to food for children who rely on the federal nutrition safety net",It is critical to ensure that the nutritional needs of vulnerable children are met in order to avoid exacerbating disparities in health and educational attainment for years to come.,-,4/23/2020,,,,
