,Date,Title,URL,Journal,Severe,Severe lower bound,Severe upper bound,Severe p-value,Severe Significant,Severe Adjusted,Severe Calculated,Fatality,Fatality lower bound,Fatality upper bound,Fatality p-value,Fatality Significant,Fatality Adjusted,Fatality Calculated,Multivariate adjustment,Design,Sample,Study population,Added on,Critical only,Discharge vs. death?
0,2020-04-29,"Clinical Characteristics and Short-Term Outcomes of Severe Patients with COVID-19 in Wuhan, China",https://doi.org/10.1101/2020.04.24.20078063,medrxiv,HR 1.12,0.46,2.75,0.8,Not Significant,Not Adjusted,Extracted,,,,,,,,,Prospective observational study,114,"Union Hospital from January 23, 2020 to February 22, 2020",05/06/20,Y,N
1,2020-04-29,Hypertension and Renin-Angiotensin-Aldosterone System Inhibitors in Patients with Covid-19,https://doi.org/10.1101/2020.04.24.20077388,medrxiv,,,,,,,,OR: 3.7,2.99,4.58,,Significant,Not Adjusted,Extracted,,Retrospective observational study,3017,Hackensack Meridian Health network,05/06/20,N,Y
2,2020-04-29,Supplementing the National Early Warning Score (NEWS2) for anticipating early deterioration among patients with COVID-19 infection,https://doi.org/10.1101/2020.04.24.20078006,medrxiv,OR 2.55,1.75,3.72,<0.01,Significant,Not Adjusted,Calculated,,,,,,,,,Retrospective observational study,708,UK NHS hospital from 1st March to 5th April 2020,05/06/20,Y,N
3,2020-04-29,"Role of Drugs Affecting the Renin-Angiotensin-Aldosterone System on Susceptibility and Severity of COVID-19: A Large Case-Control Study from Zheijang Province, China.",https://doi.org/10.1101/2020.04.24.20077875,medrxiv,AOR: 2.35,1.47,3.76,<0.01,Significant,Adjusted,Extracted,,,,,,,,,Retrospective observational study,610,"14 hospitals in Zhejiang province, China between Jan 10 and Feb 28, 2020 and confirmed diagnosis of Covid-19 infection were included",05/06/20,N,N
4,2020-04-28,Association of Digestive Symptoms and Hospitalization in Patients with SARS-CoV-2 Infection,https://doi.org/10.1101/2020.04.23.20076935,medrxiv,OR 2.95,1.07,8.1,0.04,Significant,Not Adjusted,Calculated,,,,,,,,,Retrospective observational study,207,"Stanford University Hospital and Clinics from March 03, 2020 to April 7, 2020",05/06/20,Y,N
5,2020-04-28,"Clinical determinants for fatality of 44,672 patients with COVID-19",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7187660/,Critical Care,,,,,,,,RR 4.48,3.69,5.45,<0.01,Significant,Not Adjusted,"Extracted RR, Calculated OR",,Case series,44672,"Chinese center for disease control and prevention (44,672 laboratory confirmed cases updated through February 11, 2020, [2])",05/06/20,N,N
6,2020-04-28,"Predictive factors for disease progression in hospitalized patients with Coronavirus Disease 2019 in Wuhan, China",https://doi.org/10.1016/j.jcv.2020.104392,Journal of Clinical Virology,OR 22,6.03,80.3,<0.01,Significant,Not Adjusted,Calculated,,,,,,,,,Retrospective observational study,111,"Union Hospital, Tongji Medical College, Huazhong University of Science and Technology from January 13 to February 16 in 2020",05/06/20,Y,N
7,2020-04-27,Patients with arterial hypertension and COVID-19 are at higher risk of ICU admission,https://doi.org/10.1016/j.bja.2020.04.056,British Journal of Anaesthesia,OR 2.54,1.83,3.54,,Significant,Not Adjusted,Extracted,,,,,,,,,Systematic review and meta-analysis,1382; 4 studies,"MEDLINE, Scopus, and Web of Science for all investigations in English published any time up to March 27, 2020",05/06/20,Y,N
8,2020-04-27,Estimating Survival of Hospitalized COVID-19 Patients from Admission Information,http://doi.org/10.1101/2020.04.22.20075416,medrxiv,,,,,,,,OR 1.83,1.61,2.09,<0.01,Significant,Not Adjusted,Calculated,,Retrospective observational study,5233,"Northwell Health acute care hospitals on or after March 1, 2020, and were discharged or died before April 12, 2020. Clinical outcomes (i.e., discharges, mortality, and length of stay) were monitored until April 12, 2020, the final date of follow-up",05/06/20,N,Y
9,2020-04-27,"Characterization of clinical progression of COVID-19 patients in Shenzhen, China",https://doi.org/10.1101/2020.04.22.20076190,medrxiv,OR 4.64,2.5,8.62,<0.01,Significant,Not Adjusted,Calculated,,,,,,,,,Retrospective observational study,420,Shenzhen between January 11th and March 10th 2020,05/06/20,N,N
10,2020-04-25,The role of comorbidities and clinical predictors of severe disease in COVID-19: a systematic review and meta-analysis Emails,http://doi.org/10.1101/2020.04.21.20074633,,OR 2.35,1.83,3.02,,Significant,Not Adjusted,Extracted,,,,,,,,,Systematic review and meta-analysis,10 studies,"PubMed, Scopus, EMBASE, Web of Science, and Google Scholar searched through March 12 2022",05/06/20,Y,N
11,2020-04-25,Association between rRT-PCR test results upon admission and outcome in hospitalized chest CT-Positive COVID-19 patients; a provincial retrospective cohort with active follow-up,https://doi.org/10.1101/2020.04.21.20074641,medrxiv,,,,,,,,OR 0.99,0.44,2.2,0.99,Not Significant,Adjusted,Extracted,"Age, ICU admission, PCR test results, admission week, number of comorbidities, cardiovascular disease, chronic lung disease, gender, chronic kidney disease, immunodeficiency, diabetes",Retrospective observational study,1197,"Qazvin province hospitals Feb 20-March 11, 2020",05/06/20,N,N
12,2020-04-24,"COVID-19 in Iran, a comprehensive investigation from exposure to treatment outcomes",https://doi.org/10.1101/2020.04.20.20072421,medrxiv,OR 3.04,0.98,9.46,0.06,Not Significant,Not Adjusted,Calculated,,,,,,,,,Retrospective observational study,100,"YAS hospital affiliated to Tehran University of Medical Sciences from Feb 22 to March 5, 2020",05/06/20,Y,N
13,2020-04-23,Risk factors of critical & mortal COVID-19 cases: A systematic literature review and meta-analysis,https://doi.org/10.1016/j.jinf.2020.04.021,Journal of Infection,OR: 2.72,1.6,4.64,,Significant,Not Adjusted,Extracted,,,,,,,,,Systematic review and meta-analysis,3028; 13 studies,China,05/06/20,Y,N
14,2020-04-23,Impaired type I interferon activity and exacerbated inflammatory responses in severe Covid-19 patients,https://www.medrxiv.org/content/10.1101/2020.04.19.20068015v3,medrxiv,OR 2.86,0.82,9.99,0.1,Not Significant,Not Adjusted,Calculated,,,,,,,,,Retrospective observational study,50,PCR-confirmed COVID-19 cases without comorbidities or anti-inflammatory treatments,05/06/20,Y,N
15,2020-04-23,"Venous and arterial thromboembolic complications in COVID-19 patients admitted to an academic hospital in Milan, Italy",doi.org/10.1016/j.thromres.2020.04.024,Thrombosis Research,OR 0.87,0.5,1.51,0.62,Not Significant,Not Adjusted,Calculated,,,,,,,,,Retrospective observational study,388,"Humanitas Clinical and Research Hospital,  since February 2021",05/06/20,Y,N
16,2020-04-22,Impact of blood analysis and immune function on the prognosis of patients with COVID-19,http://doi.org/10.1101/2020.04.16.20067587,medRxiv,,,,,,,,OR 1.96,0.62,6.23,0.26,Not Significant,Not Adjusted,Calculated,,Retrospective observational study,85,COVID-19 pneumonia patients admitted to Third Batch of Chongqing Medical Aid Team from 4 February 2020 to 16 February 2020,05/06/20,N,N
17,2020-04-21,Epidemiological Characteristics of Coronavirus Disease 2019 (COVID-19) Patients in IRAN: A single Center Study [Journal of Clinical Virology],https://doi.org/10.1016/j.jcv.2020.104378,Journal of Clinical Virology,,,,,,,,OR 1.82,0.85,3.87,0.12,Not Significant,Not Adjusted,Calculated,,Retrospective observational study,2968,"Baqiyatallah hospital from 19 February 2020, to 15 April 2020",05/06/20,N,N
18,2020-04-20,"Epidemiology, clinical course, and outcomes of critically ill adults with COVID-19 in New York City: a prospective cohort study",http://doi.org/10.1101/2020.04.15.20067157,medRxiv,,,,,,,,HR 2.27,1.37,3.79,,Significant,Not Adjusted,Extracted,,Prospective observational study,257,"Columbia University Irving Medical Center (2 affiliated hospitals in Manhattan) from March 2nd to April 1st, 2020.",05/06/20,N,N
19,2020-04-19,Early prediction of mortality risk among severe COVID-19 patients using machine learning,https://doi.org/10.1101/2020.04.13.20064329,medRxiv,,,,,,,,OR 1.32,0.72,2.43,0.37,Not Significant,Not Adjusted,Calculated,,Retrospective observational study,256,"Severe COVID-19 patients only from Sino-French New City Branch of Tongji Hospital from Jan 28 to March 11, 2020",05/06/20,N,N
20,2020-04-17,Clinical Characteristics of Covid-19 in New York City,https://doi.org/10.1056/nejmc2010419,New England Journal of Medicine,OR 1.25,0.82,1.9,0.3,Not Significant,Not Adjusted,Calculated,,,,,,,,,Retrospective observational study,393,"2 hospitals in Manhattan from March 3 - March 27, 2020",05/06/20,Y,N
21,2020-04-17,Association between ABO blood groups and clinical outcome of coronavirus disease 2019: Evidence from two cohorts,http://doi.org/10.1101/2020.04.15.20063107,medRxiv,OR 1.94,0.82,4.62,0.13,Not Significant,Not Adjusted,Calculated,OR 0.96,0.36,2.52,0.93,Not Significant,Not Adjusted,Calculated,"age, sex, and medical history",Retrospective observational study,234,"Patients with mild symptoms from Xi’an, Beijing, and Wuhan and patients who are critically ill from Xi'an and Wuhan (from a total of 5 hospitals), enrolled from February 5 to March 20, 2026",05/06/20,Y,N
22,2020-04-16,Characteristics and outcomes of a cohort of SARS-CoV-2 patients in the Province of Reggio,http://doi.org/10.1101/2020.04.13.20063545,,,,,,,,,HR 1.6,1.2,2.1,,Significant,Adjusted,Extracted,Age and gender,Retrospective observational study,2362,"All patients in Reggio Emilia, Italiy from Feb 27 to April 2, 2026",05/06/20,N,N
23,2020-04-16,Characteristics and outcomes of a cohort of SARS-CoV-2 patients in the Province of Reggio,https://doi.org/10.1101/2020.04.13.20063545,medRxiv,HR 1.4,1.2,1.6,,Significant,Not Adjusted,Extracted,HR 1.6,1.2,2.1,,Significant,Not Adjusted,Extracted,,Retrospective observational study,2653,"All symptomatic patients who tested positive in Reggio from February 27 to April 2, 2020.",05/06/20,N,N
24,2020-04-16,Cardiovascular Diseases and COVID-19 Mortality and Intensive Care Unit Admission: A Systematic Review and Meta-analysis [medrxiv],https://doi.org/10.1101/2020.04.12.20062869,medRxiv,2.69,1.55,4.67,,Significant,Not Adjusted,Extracted,OR 1.92,1.34,2.74,,Significant,Not Adjusted,Extracted,,Systematic review and meta-analysis,3473; 16 studies,"PubMed, Embase, Cochrane Library, Scopus, Web of Science as well as medRxiv pre-print database, Google Scholar and journal websites were searched",05/06/20,Y,N
25,2020-04-13,"Suppressed T cell-mediated immunity in patients with COVID-19: a clinical retrospective study in Wuhan, China First Authors",doi.org/10.1016/j.jinf.2020.04.012,Journal of Infection,OR 2.40,1.23,4.7,0.01,Significant,Not Adjusted,Calculated,OR 2.54,1.03,6.28,0.04,,,,,Retrospective observational study,187,"Hubei Provincial Hospital of traditional Chinese and Western Medicine from Dec 26, 2019 to Mar 1,2021",05/06/20,Y,N
26,2020-04-12,The clinical course and its correlated immune status in COVID-19 pneumonia,http://doi.org/10.1016/j.jcv.2020.104361,Journal of Clinical Virology,OR: 7.56,3.37,16.9,<0.01,Significant,Not Adjusted,Calculated,,,,,,,,,Retrospective observational study,204,"Renmin Hospital of Wuhan University between January 10.2020 and February 13,2020",05/06/20,N,N
27,2020-04-12,Risk factors for severity and mortality in adult COVID-19 inpatients in Wuhan Risk factors for severity and mortality in adult COVID-19 1 inpatients in Wuhan,http://doi.org/10.1016/j.jaci.2020.04.006,Journal of Allergy and Clinical Immunology,OR 2.01,1.27,3.17,<0.01,Significant,Not Adjusted,Extracted,,,,,,,,,Retrospective observational study,548,"Sino-French New City Branch of Tongji Hospital, Huazhong University of Science and 161 Technology in Wuhan from January 26, 2020 to February 5, 2023",05/06/20,N,N
28,2020-04-11,"Factors associated with hospitalization and critical illness among 4,103 patients with",http://doi.org/10.1101/2020.04.08.20057794,medRxiv,OR 0.95,0.68,1.33,0.78,Not Significant,Not Adjusted,Extracted,,,,,,,,,Cross-sectional study,4103,"Single-center study in  New York City between March 1, 2020 and April 2, 2020, with follow up through April 7, 2026",04/21/20,Y,N
29,2020-04-11,Key to successful treatment of COVID-19: accurate identification of severe risks and early intervention of disease progression,http://doi.org/10.1101/2020.04.06.20054890,medRxiv,OR 1.83,0.59,5.67,0.3,Not Significant,Not Adjusted,Calculated,,,,,,,,,Retrospective observational study,97,"Fifth Affiliated Hospital of Sun Yat-sen University from January 17, 2020 to March 10, 2020",05/06/20,N,N
30,2020-04-11,Hypertension in patients hospitalized with COVID-19 in Wuhan China: A single-center retrospective observational study,https://doi.org/10.1101/2020.04.06.20054825,medRxiv,OR0.86,0.5,1.47,0.58,Not Significant,Not Adjusted,Calculated,,,,,,,,,Retrospective observational study,274,"Hankou Hospital Jan 3 - March 8, 2020",05/06/20,N,N
31,2020-04-10,The Use of Adjuvant Therapy in Preventing Progression to Severe Pneumonia in Patients with Coronavirus Disease 2019: A Multicenter Data Analysis,http://doi.org/10.1101/2020.04.08.20057539,medRxiv,OR: 3.11,1.75,5.55,<0.01,Significant,Not Adjusted,Extracted,,,,,,,,,Retrospective observational study,564,"Third Xiangya Hospital of Central South University, Changsha Public Health Treatment Center, First Hospital of Yueyang, Junshan People’s Hospital of Yueyang, Central Hospital of Shaoyang, Central Hospital of Xiangtan, Second Hospital of Changde, Central Hospital of Loudi, and First Affiliated Hospital of University of South China from January 17, 2020 to February 28, 2020.",04/20/20,N,N
32,2020-04-07,The relationship of COVID-19 severity with cardiovascular disease and its traditional risk factors: A systematic review and meta-analysis,https://doi.org/10.1101/2020.04.05.20054155,medRxiv,RR 2.87,2.09,3.93,,Significant,Not Adjusted,Extracted,,,,,,,,,Systematic review and meta-analysis,24351; 10 studies,"PubMed and Embase were searched for records published between December 1, 2019 and March 20, 2020.",05/06/20,Y,N
33,2020-04-06,"Urinalysis, but not blood biochemistry, detects the early renal-impairment in patients with COVID-19",https://doi.org/10.1101/2020.04.03.20051722,medRxiv,OR 3.24,1.43,7.35,<0.01,Significant,Not Adjusted,Calculated,,,,,,,,,Retrospective observational study,178,"Tongji Medical College, Huazhong University of Science and Technology, from February 02 to February 29, 2020",05/06/20,Y,N
34,2020-04-04,Angiotensin II Receptor Blockers and Angiotensin-Converting Enzyme Inhibitors Usage is Associated with Improved Inflammatory Status and Clinical Outcomes in COVID-19 Patients With Hypertension,https://doi.org/10.1101/2020.03.31.20038935,medRxiv,OR 1.77,0.86,3.62,0.12,Not Significant,Not Adjusted,Calculated,,,,,,,,,Retrospective observational study,251,"COVID-19 patients with preexisting hypertension at Hubei Provincial Hospital of Traditional Chinese Medicine (HPHTCM) in Wuhan from January 5 to February 22, 2020 and age- and sex-matched COVID-19 patients without hypertension were randomly selected as non-hypertension control",05/06/20,Y,N
35,2020-04-04,Angiotensin II Receptor Blockers and Angiotensin-Converting Enzyme Inhibitors Usage is Associated with Improved Inflammatory Status and Clinical Outcomes in COVID-19 Patients With Hypertension,https://doi.org/10.1101/2020.03.31.20038935,medRxiv,OR 1.63,0.96,2.75,0.07,Not Significant,Not Adjusted,Calculated,OR 1.68,0.67,4.21,0.27,Not Significant,Not Adjusted,Calculated,,Retrospective observational study,251,"COVID-19 patients with preexisting hypertension at Hubei Provincial Hospital of Traditional Chinese Medicine (HPHTCM) in Wuhan from January 5 to February 22, 2020 and age- and sex-matched COVID-19 patients without hypertension were randomly selected as non-hypertension control",05/06/20,N,N
36,2020-04-03,History of coronary heart disease increases the mortality rate of COVID-19 patients: a nested case-control study,https://doi.org/10.1101/2020.03.23.20041848,medRxiv,,,,,,,,HR 1.4,0.9,2.2,0.17,Not Significant,Not Adjusted,Extracted,,Retrospective observational study,275,"mainland China outside of Hubei Province, from December 18th, 2019 to March 8, 2022",04/10/20,N,N
37,2020-04-02,"Clinical features of 95 sequential hospitalised patients with novel coronavirus 2019 disease (COVID-19), the first UK cohort",10.1016/j.jinf.2020.04.020,Journal of Infection,,,,,,,,OR 2.6,0.95,7.1,0.06,Not Significant,Not Adjusted,Calculated,,Retrospective observational study,95,"North Bristol NHS Trust March 10 to March 30, 2020",05/06/20,N,N
38,2020-04-01,Risk factors for severe corona virus disease 2019 (COVID-19) patients : a systematic review and meta analysis,https://doi.org/10.1101/2020.03.30.20047415,medRxiv,OR 2.31,1.68,3.18,,Significant,Not Adjusted,Extracted,,,,,,,,,Systematic review and meta-analysis,1083; 10 studies,"China National Knowledge Infrastructure (CNKI), Wanfang, Weipu, Chinese Biomedicine Literature Database (CBM-SinoMed), MEDLINE (via PubMed), EMBASE, Cochrane Central Register and Web of science searched through  8 March 2021",05/06/20,N,N
39,2020-03-30,"Risk Factors Associated with Clinical Outcomes in 323 COVID-19 Patients in Wuhan, China",https://doi.org/10.1101/2020.03.25.20037721,medRxiv,OR 1.33,0.58,3.04,0.5,Not Significant,Not Adjusted,Calculated,,,,,,,,,Retrospective observational study,323,"Tianyou Hospital from January 8 to February 20, 2021",04/10/20,Y,N
40,2020-03-30,Clinical characteristics associated with COVID-19 severity in California,https://doi.org/10.1101/2020.03.27.20043661,medRxiv,-,-,-,0.05,Not Significant,Not Adjusted,Extracted,,,,,,,,,Retrospective observational study,54,"Stanford Hospital through March 16, 2020",04/10/20,Y,N
41,2020-03-30,"Effects of hypertension, diabetes and coronary heart disease on COVID-19 diseases severity: a systematic review and meta-analysis",https://doi.org/10.1101/2020.03.25.20043133,medRxiv,OR 2.30,1.76,3,<0.01,Significant,Not Adjusted,Extracted,,,,,,,,,Systematic review and meta-analysis,1936; 9 studies,"PubMed (1970-2020.03.06, English), Web of science (1950-2020.03.06, English), China National Knowledge Infrastructure Database (CNKI, 1979-2020.03.06, Chinese), WanFang Database (1970-2020.03.06, Chinese), and VIP Database (1970-2020.03.06, Chinese)",04/10/20,N,N
42,2020-03-30,"Risk Factors Associated with Clinical Outcomes in 323 COVID-19 Patients in Wuhan, China",https://doi.org/10.1101/2020.03.25.20037721,medRxiv,OR 1.79 (95% CI: 1.11-2.88),1.11,2.88,,Significant,Not Adjusted,Calculated,,,,,,,,,Retrospective observational study,323,"Tianyou Hospital from January 8 to February 20, 2020",04/10/20,N,N
43,2020-03-30,Coronavirus Disease 2019 in elderly patients: characteristics and prognostic factors based on 4-week follow-up,https://doi.org/10.1016/j.jinf.2020.03.019,Journal of Infection,,,,,,,,HR 1.49,0.92,2.44,0.12,Not Significant,Not Adjusted,Extracted,,Prospective observational study,339,"age over 60 years old admitted to Renmin Hospital of Wuhan University from Jan 1 to Feb 6, 2020 (followed up until March 5)",04/10/20,N,N
44,2020-03-30,Prognostic factors for COVID-19 pneumonia progression to severe symptom based on the earlier clinical features: a retrospective analysis,http://doi.org/10.1101/2020.03.28.20045989,medRxiv,OR 8.41,2.96,23.89,<0.01,Significant,Not Adjusted,Calculated,,,,,,,,,Retrospective observational study,125,Only those with mild COVID-19 on admission w/length of stay >3 days and duration of infection > 7 days at Guangzhou Eighth People's Hospital from Jan 20-Feb 29.,04/10/20,N,N
45,2020-03-30,Prognostic factors for COVID-19 pneumonia progression to severe symptom based on the earlier clinical features: a retrospective analysis,http://doi.org/10.1101/2020.03.28.20045989,,OR 8.41,2.96,23.89,<0.01,Significant,Not Adjusted,Calculated,,,,,,,,,Retrospective observational study,125,"Guangzhou Eighth People’s Hospital from January 20 to February 29, 2020.",05/06/20,N,N
46,2020-03-30,"Suspected myocardial injury in patients with COVID-19: Evidence from front-line clinical observation in Wuhan, China",https://doi.org/10.1016/j.ijcard.2020.03.087,International Journal of Cardiology,OR 1.53,0.67,3.51,0.31,Not Significant,Not Adjusted,Calculated,,,,,,,,,Retrospective observational study,112,"Renmin Hospital of Wuhan Univeristy from  January 6 to February 20, 2020",05/06/20,N,N
47,2020-03-30,Development and external validation of a prognostic multivariable model on admission for hospitalized patients with COVID-19,https://doi.org/10.1101/2020.03.28.20045997,medRxiv,,,,,,,,OR 2.20,1.38,3.52,<0.01,Significant,Not Adjusted,Calculated,,Retrospective observational study,299,Tongji Hospital from Jan to Feb 2020,05/06/20,N,Y
